RowID,Structure,Nitrosoimine,Nitrosated_hetSub_amine,N_in_aromatic_ring,Acyclic,piperidine,N4_sub_piperazine,N4_unsub_piperazine,morpholine,pyrrolidine,ring_size_3,ring_size_4,ring_size_5,ring_size_6,ring_size_7,Et_Me_only,Has_Et_Me,Has_a_CH2,Heterosubstituted_a_carbon,Multiple_nitroso,Has_t_butyl,Has_i_propyl,One_C_aromatic,Both_C_aromatic,Allylic_Or_Propargylic,Benzylic,Vinyl_or_Alkynyl,Has_b_EWG_strong,Has_b_EWG_weak,Has_a_Nitrile,Carboxylic_acid,Nitrosamine,Nitrosoamide,ring_size_8_plus,Nitrosourea,Nitrosoamidine,Nitrosocarbamate,Nitrosoguanidine,Nitrosated_primary_amine,Nitramine,Nitrosohydroxylamine,Nitroso_sulphonamide,pKaH of parent amine,activated feature,deactivated feature,overall potency category,Average Mass,CAS (Unique concatenate),CAS (Count),calculate_score
Row0,[H][C@@]13N(C[C@@]3([H])CN(C1)c2cnc(Cl)c(Cl)c2)N=O,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.653855397,0,1,potency-reducing feature,273.1188595,,0,3
Row1,[H][C@]1(CN[C@]1([H])C=O)CN(N=O)c2cnc(Cl)c(Cl)c2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.813607233,0,1,potency-reducing feature,289.1182644,,0,4
Row2,[H][C@@]1(NC[C@@]1([H])C=O)CN(N=O)c2cnc(Cl)c(Cl)c2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.448466471,0,1,potency-reducing feature,289.1182644,,0,4
Row3,FC(F)(F)CSCC1NS(=O)(=O)c2cc(S(N)(=O)=O)c(Cl)cc2N1N=O,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-5.064905448,0,1,potency-reducing feature,454.8531121,96782-87-5 [SUPERSEDED],1,
Row4,N(CC#C)(Cc1ccccc1)N=O,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.511025395,1,0,potent feature,174.1995779,555-57-7,1,0
Row5,[H][C@]2(OC(=O)C=1SC=CC=1)CN([C@]([H])(C2)C(O)=O)N=O,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8.434326895,1,1,"both, medium but review",270.2619846,,0,6
Row6,[O-][N+](=O)C1=CC(CN(CP(O)(O)=O)N=O)=C2NC(=O)C(O)=NC2=C1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.313356046,1,0,potent feature,359.1892835,,0,0
Row7,ClC=2C=CC(Cl)=C(N1CCN(CC1)N=O)C=2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.328533637,0,0,"no features from either list, medium",260.120097,,0,3
Row8,ClC2=CC=CC(N1CCN(CC1)N=O)=C2Cl,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.328533637,0,0,"no features from either list, medium",260.120097,2036070-48-9 [NO STRUCTURE GIVEN],1,3
Row9,Clc2cc(Cl)cc(N1CCN(CC1)N=O)c2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.449841192,0,0,"no features from either list, medium",260.120097,,0,3
